# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_upstream_gene_variant
IV00_00035377	IV00_00035377	IV00_00035377-RA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3
IV00_00035378	IV00_00035378	IV00_00035378-RA	protein_coding	0	0	0	12	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	4
IV00_00035380	IV00_00035380	IV00_00035380-RA	protein_coding	0	1	0	7	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	3
IV00_00035385	IV00_00035385	IV00_00035385-RA	protein_coding	0	0	0	24	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	5
IV00_00035388	IV00_00035388	IV00_00035388-RA	protein_coding	0	0	0	42	0	0	0	0	0	0	0	6	0	0	31	0	0	0	0	0	0	0	0	5
IV00_00035427	IV00_00035427	IV00_00035427-RA	protein_coding	1	1	0	24	0	0	0	0	0	0	0	7	0	1	13	0	0	0	1	0	0	1	0	5
IV00_00035431	IV00_00035431	IV00_00035431-RA	protein_coding	0	0	0	18	0	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	4
IV00_00035443	IV00_00035443	IV00_00035443-RA	protein_coding	0	0	0	68	0	0	0	0	0	0	0	10	0	0	43	0	0	0	0	0	0	0	0	15
IV00_00035445	IV00_00035445	IV00_00035445-RA	protein_coding	0	0	0	44	0	0	0	0	0	0	0	11	0	0	19	0	0	0	0	0	0	0	0	14
IV00_00035451	IV00_00035451	IV00_00035451-RA	protein_coding	0	0	0	82	0	0	0	0	0	0	0	20	0	0	51	0	0	0	0	0	0	0	0	11
IV00_00035454	IV00_00035454	IV00_00035454-RA	protein_coding	0	0	0	56	0	0	0	0	0	0	0	4	0	0	41	0	0	0	0	0	0	0	0	11
IV00_00035469	IV00_00035469	IV00_00035469-RA	protein_coding	0	2	0	92	0	0	0	0	0	0	0	10	0	0	66	0	0	0	2	0	0	0	0	18
IV00_00035478	IV00_00035478	IV00_00035478-RA	protein_coding	0	0	0	24	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	6
IV00_00035482	IV00_00035482	IV00_00035482-RA	protein_coding	1	0	0	37	0	0	0	0	0	0	0	15	0	1	7	0	0	0	0	0	0	0	0	15
IV00_00035483	IV00_00035483	IV00_00035483-RA	protein_coding	0	0	0	56	0	0	0	0	0	0	0	26	0	0	6	0	0	0	0	0	0	0	0	24
IV00_00035484	IV00_00035484	IV00_00035484-RA	protein_coding	0	0	1	51	0	0	0	0	1	0	0	15	0	0	26	0	0	0	0	0	0	0	0	10
IV00_00035485	IV00_00035485	IV00_00035485-RA	protein_coding	0	0	0	42	0	0	0	0	0	0	0	24	0	0	10	0	0	0	0	0	0	0	0	8
IV00_00035487	IV00_00035487	IV00_00035487-RA	protein_coding	0	2	0	154	0	0	0	0	0	0	0	40	0	0	70	0	0	0	2	0	0	0	0	46
IV00_00035489	IV00_00035489	IV00_00035489-RA	protein_coding	3	0	0	76	0	0	0	0	0	0	0	18	0	3	25	0	0	0	0	0	1	0	0	33
IV00_00035491	IV00_00035491	IV00_00035491-RA	protein_coding	0	0	0	36	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	17
IV00_00035492	IV00_00035492	IV00_00035492-RA	protein_coding	0	0	0	31	0	0	0	0	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	11
IV00_00035493	IV00_00035493	IV00_00035493-RA	protein_coding	0	0	0	26	0	0	0	0	0	0	0	10	0	0	8	0	0	0	0	0	0	0	0	8
IV00_00035496	IV00_00035496	IV00_00035496-RA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
IV00_00035759	IV00_00035759	IV00_00035759-RA	protein_coding	4	0	0	265	0	0	0	0	0	0	0	25	0	4	203	0	0	0	0	0	0	0	0	37
IV00_00035760	IV00_00035760	IV00_00035760-RA	protein_coding	5	1	1	126	0	0	0	0	0	1	0	25	0	5	52	0	0	0	2	0	0	0	0	50
IV00_00035764	IV00_00035764	IV00_00035764-RA	protein_coding	0	1	0	269	0	0	0	0	0	0	0	23	0	0	204	0	0	0	1	0	0	0	0	43
IV00_00035769	IV00_00035769	IV00_00035769-RA	protein_coding	0	2	0	152	2	0	0	0	0	0	0	55	0	0	80	0	0	0	2	0	0	0	0	17
IV00_00035771	IV00_00035771	IV00_00035771-RA	protein_coding	0	0	0	114	0	0	0	0	0	0	0	40	0	0	42	0	0	0	0	0	0	0	0	32
IV00_00035772	IV00_00035772	IV00_00035772-RA	protein_coding	1	2	0	102	4	0	0	0	0	0	0	14	0	1	61	0	0	0	2	0	0	0	0	25
IV00_00035773	IV00_00035773	IV00_00035773-RA	protein_coding	0	0	0	59	0	0	0	0	0	0	0	41	0	0	1	0	0	0	0	0	0	0	0	17
IV00_00035777	IV00_00035777	IV00_00035777-RA	protein_coding	0	0	0	143	1	0	0	0	0	0	0	17	0	0	66	0	0	0	0	0	0	0	0	59
IV00_00035787	IV00_00035787	IV00_00035787-RA	protein_coding	0	6	0	114	0	0	0	0	0	0	0	21	0	0	73	0	0	0	6	0	0	0	0	26
IV00_00035793	IV00_00035793	IV00_00035793-RA	protein_coding	0	0	0	51	0	0	0	0	0	0	0	15	0	0	18	0	0	0	0	0	0	0	0	18
IV00_00035795	IV00_00035795	IV00_00035795-RA	protein_coding	0	0	0	54	7	0	0	0	0	0	0	20	0	0	8	0	0	0	0	0	0	0	0	19
IV00_00035799	IV00_00035799	IV00_00035799-RA	protein_coding	0	0	0	227	2	0	0	0	0	0	0	35	0	0	169	0	0	0	0	0	0	0	0	21
IV00_00035801	IV00_00035801	IV00_00035801-RA	protein_coding	0	2	0	74	0	0	0	0	0	0	0	26	0	0	26	0	0	0	2	0	0	0	0	24
IV00_00035803	IV00_00035803	IV00_00035803-RA	protein_coding	0	0	1	161	0	0	0	0	0	0	1	46	0	0	72	0	0	0	0	0	0	0	0	43
IV00_00035803	IV00_00035803	IV00_00035803-RB	protein_coding	0	0	0	162	0	0	0	0	0	0	0	47	0	0	72	0	0	0	0	0	0	0	0	43
IV00_00035805	IV00_00035805	IV00_00035805-RA	protein_coding	0	0	0	153	0	0	0	0	0	0	0	33	0	0	96	0	0	0	0	0	0	0	0	24
IV00_00035810	IV00_00035810	IV00_00035810-RA	protein_coding	0	0	0	135	0	0	0	0	0	0	0	32	0	0	69	0	0	0	0	0	0	0	0	34
IV00_00035811	IV00_00035811	IV00_00035811-RA	protein_coding	0	1	0	189	4	0	0	0	0	0	0	33	0	0	112	0	0	0	1	0	0	0	0	41
IV00_00035815	IV00_00035815	IV00_00035815-RA	protein_coding	2	1	0	52	0	0	0	0	0	0	0	19	0	2	23	0	0	0	1	0	0	0	0	11
IV00_00035820	IV00_00035820	IV00_00035820-RA	protein_coding	0	0	0	81	0	0	0	0	0	0	0	21	0	0	26	0	0	0	0	0	0	0	0	34
IV00_00035823	IV00_00035823	IV00_00035823-RA	protein_coding	4	0	0	135	0	0	0	0	0	0	0	65	0	4	19	0	0	0	0	0	0	0	0	51
IV00_00035825	IV00_00035825	IV00_00035825-RA	protein_coding	1	1	0	121	0	0	0	0	0	0	0	25	0	1	75	0	0	0	1	0	0	0	0	22
IV00_00035827	IV00_00035827	IV00_00035827-RA	protein_coding	1	0	0	50	2	0	0	0	0	0	0	16	0	1	4	0	0	0	0	0	0	0	0	28
IV00_00035828	IV00_00035828	IV00_00035828-RA	protein_coding	0	0	0	70	0	0	0	0	0	0	0	17	0	0	23	0	0	0	0	0	0	0	0	30
IV00_00035832	IV00_00035832	IV00_00035832-RA	protein_coding	0	0	0	46	0	0	0	0	0	0	0	12	0	0	24	0	0	0	0	0	0	0	0	10
IV00_00035846	IV00_00035846	IV00_00035846-RA	protein_coding	1	1	0	113	0	0	0	0	0	0	0	25	0	1	58	0	0	0	1	0	0	0	0	31
IV00_00035847	IV00_00035847	IV00_00035847-RA	protein_coding	1	0	0	85	0	0	0	0	0	0	0	32	0	1	27	0	0	0	0	0	0	0	0	26
IV00_00035848	IV00_00035848	IV00_00035848-RA	protein_coding	0	2	0	66	1	0	0	0	0	0	0	32	0	0	8	0	0	0	2	0	0	0	0	27
IV00_00035849	IV00_00035849	IV00_00035849-RA	protein_coding	1	0	0	85	1	0	0	0	0	0	0	29	0	1	28	0	0	0	0	0	0	0	0	27
IV00_00035855	IV00_00035855	IV00_00035855-RA	protein_coding	0	1	0	105	0	0	0	0	0	0	0	26	0	0	53	0	0	0	1	0	0	0	0	27
IV00_00035860	IV00_00035860	IV00_00035860-RA	protein_coding	0	1	1	149	3	0	0	1	0	0	0	25	0	0	106	0	0	0	1	0	0	0	0	16
IV00_00035867	IV00_00035867	IV00_00035867-RA	protein_coding	0	0	0	39	0	0	0	0	0	0	0	17	0	0	4	0	0	0	0	0	0	0	0	18
IV00_00035868	IV00_00035868	IV00_00035868-RA	protein_coding	0	0	0	125	0	0	0	0	0	0	0	49	0	0	43	0	0	0	0	0	0	0	0	33
IV00_00035869	IV00_00035869	IV00_00035869-RA	protein_coding	0	0	0	122	0	0	0	0	0	0	0	30	0	0	26	0	0	0	0	0	0	0	0	66
IV00_00035870	IV00_00035870	IV00_00035870-RA	protein_coding	0	0	0	104	1	0	0	0	0	0	0	30	0	0	42	0	0	0	0	0	0	0	0	31
IV00_00035871	IV00_00035871	IV00_00035871-RA	protein_coding	1	0	0	138	0	0	0	0	0	0	0	30	0	1	87	0	0	0	0	0	0	0	0	21
IV00_00035893	IV00_00035893	IV00_00035893-RA	protein_coding	0	1	0	104	7	0	0	0	0	0	0	35	0	0	21	0	0	0	1	0	0	0	0	42
IV00_00035894	IV00_00035894	IV00_00035894-RA	protein_coding	1	0	0	100	3	0	0	0	1	0	0	31	0	0	37	0	0	0	0	1	0	0	0	29
IV00_00035898	IV00_00035898	IV00_00035898-RA	protein_coding	0	0	0	63	0	0	0	0	0	0	0	33	0	0	7	0	0	0	0	0	0	0	0	23
IV00_00035899	IV00_00035899	IV00_00035899-RA	protein_coding	0	0	0	53	0	0	0	0	0	0	0	20	0	0	21	0	0	0	0	0	0	0	0	12
IV00_00035900	IV00_00035900	IV00_00035900-RA	protein_coding	0	0	0	72	0	0	0	0	0	0	0	16	0	0	29	0	0	0	0	0	0	0	0	27
IV00_00035903	IV00_00035903	IV00_00035903-RA	protein_coding	0	0	0	89	0	0	0	0	0	0	0	25	0	0	31	0	0	0	0	0	0	0	0	33
IV00_00035904	IV00_00035904	IV00_00035904-RA	protein_coding	0	1	0	770	0	0	0	0	0	0	0	12	0	0	737	0	0	0	1	0	0	0	0	22
IV00_00035918	IV00_00035918	IV00_00035918-RA	protein_coding	0	0	0	23	0	0	0	0	0	0	0	9	0	0	11	0	0	0	0	0	0	0	0	3
IV00_00035929	IV00_00035929	IV00_00035929-RA	protein_coding	0	0	1	81	0	0	0	0	0	1	0	29	0	0	17	0	0	0	0	0	0	0	0	35
IV00_00035932	IV00_00035932	IV00_00035932-RA	protein_coding	0	0	0	78	1	0	0	0	0	0	0	15	0	0	30	0	0	0	0	0	0	0	0	32
IV00_00035932	IV00_00035932	IV00_00035932-RB	protein_coding	0	0	0	78	1	0	0	0	0	0	0	15	0	0	30	0	0	0	0	0	0	0	0	32
IV00_00035939	IV00_00035939	IV00_00035939-RA	protein_coding	1	1	0	282	0	0	0	0	0	0	0	20	0	1	232	0	0	0	1	0	0	0	0	31
IV00_00035939	IV00_00035939	IV00_00035939-RB	protein_coding	1	1	0	282	0	0	0	0	0	0	0	20	0	1	232	0	0	0	1	0	0	0	0	31
IV00_00035946	IV00_00035946	IV00_00035946-RA	protein_coding	0	0	0	196	0	0	0	0	0	0	0	30	0	0	146	0	0	0	0	0	0	0	0	20
IV00_00035949	IV00_00035949	IV00_00035949-RA	protein_coding	0	0	0	152	0	0	0	0	0	0	0	13	0	0	106	0	0	0	0	0	0	0	0	33
IV00_00035955	IV00_00035955	IV00_00035955-RA	protein_coding	0	0	0	95	9	0	0	0	0	0	0	12	0	0	49	0	0	0	0	0	0	0	0	25
IV00_00035963	IV00_00035963	IV00_00035963-RA	protein_coding	1	3	1	120	3	0	0	1	0	0	0	26	0	1	68	0	0	0	3	0	0	0	0	26
IV00_00035965	IV00_00035965	IV00_00035965-RA	protein_coding	0	0	0	113	2	0	0	0	0	0	0	20	0	0	65	0	0	0	0	0	0	0	0	26
IV00_00035968	IV00_00035968	IV00_00035968-RA	protein_coding	0	0	0	138	2	0	0	0	0	0	0	30	0	0	86	0	0	0	0	0	0	0	0	20
IV00_00035972	IV00_00035972	IV00_00035972-RA	protein_coding	0	0	0	45	0	0	0	0	0	0	0	16	0	0	12	0	0	0	0	0	0	0	0	17
IV00_00035975	IV00_00035975	IV00_00035975-RA	protein_coding	1	2	0	130	0	0	0	0	0	0	0	11	0	1	76	0	0	0	2	0	0	0	0	45
IV00_00035977	IV00_00035977	IV00_00035977-RA	protein_coding	0	1	0	187	0	0	0	0	0	0	0	20	0	0	125	0	0	0	1	0	0	0	0	43
IV00_00035978	IV00_00035978	IV00_00035978-RA	protein_coding	3	0	0	67	0	0	0	0	0	0	0	24	0	3	17	0	0	0	0	0	0	0	0	26
IV00_00035982	IV00_00035982	IV00_00035982-RA	protein_coding	0	1	0	158	0	0	0	0	0	0	0	33	0	0	85	0	0	0	1	0	0	0	0	41
IV00_00035984	IV00_00035984	IV00_00035984-RA	protein_coding	0	0	0	121	0	0	0	0	0	0	0	22	0	0	68	0	0	0	0	0	0	0	0	31
IV00_00035985	IV00_00035985	IV00_00035985-RA	protein_coding	2	3	0	228	2	0	0	0	0	0	0	22	0	2	187	0	0	0	3	0	0	0	0	20
IV00_00036000	IV00_00036000	IV00_00036000-RA	protein_coding	0	1	0	60	0	0	0	0	0	0	0	11	0	0	33	0	0	0	1	0	0	0	0	17
IV00_00036006	IV00_00036006	IV00_00036006-RA	protein_coding	0	0	0	78	0	0	0	0	0	0	0	32	0	0	36	0	0	0	0	0	0	0	0	10
IV00_00036007	IV00_00036007	IV00_00036007-RA	protein_coding	1	1	0	128	4	0	0	0	0	0	0	22	0	0	78	0	0	1	1	0	0	0	0	26
IV00_00036009	IV00_00036009	IV00_00036009-RA	protein_coding	0	0	0	97	0	0	0	0	0	0	0	38	0	0	30	0	0	0	0	0	0	0	0	29
IV00_00036010	IV00_00036010	IV00_00036010-RA	protein_coding	0	0	0	222	0	0	0	0	0	0	0	23	0	0	161	0	0	0	0	0	0	0	0	38
IV00_00036011	IV00_00036011	IV00_00036011-RA	protein_coding	0	0	0	102	5	0	0	0	0	0	0	26	0	0	49	0	0	0	0	0	0	0	0	22
IV00_00036014	IV00_00036014	IV00_00036014-RA	protein_coding	0	3	0	209	0	0	0	0	0	0	0	15	0	0	174	0	0	0	3	0	0	0	0	23
IV00_00036016	IV00_00036016	IV00_00036016-RA	protein_coding	1	0	0	87	0	0	0	0	0	0	0	23	0	1	51	0	0	0	0	0	0	0	0	13
IV00_00036022	IV00_00036022	IV00_00036022-RA	protein_coding	2	2	0	120	0	0	0	0	0	0	0	22	0	2	79	0	0	0	2	0	0	0	0	21
IV00_00036024	IV00_00036024	IV00_00036024-RA	protein_coding	0	0	0	80	0	0	0	0	0	0	0	33	0	0	19	0	0	0	0	0	0	0	0	28
IV00_00036029	IV00_00036029	IV00_00036029-RA	protein_coding	0	3	2	175	9	0	0	0	0	2	0	35	0	0	91	0	0	0	3	0	0	0	0	43
IV00_00036029	IV00_00036029	IV00_00036029-RB	protein_coding	0	3	0	230	10	0	0	0	0	0	0	35	0	0	162	0	0	0	3	0	0	0	0	26
IV00_00036031	IV00_00036031	IV00_00036031-RA	protein_coding	0	1	0	109	0	0	0	0	0	0	0	26	0	0	59	0	0	0	1	0	0	0	0	25
IV00_00036074	IV00_00036074	IV00_00036074-RA	protein_coding	1	0	0	169	1	0	0	0	0	0	0	3	0	1	148	0	0	0	0	0	0	0	0	17
IV00_00036112	IV00_00036112	IV00_00036112-RA	protein_coding	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22
IV00_00036114	IV00_00036114	IV00_00036114-RA	protein_coding	0	1	0	81	4	0	0	0	0	0	0	28	0	0	35	0	0	0	1	0	0	0	0	15
IV00_00036116	IV00_00036116	IV00_00036116-RA	protein_coding	0	0	1	68	0	0	0	0	0	1	0	33	0	0	7	0	0	0	0	0	0	0	0	28
IV00_00036119	IV00_00036119	IV00_00036119-RA	protein_coding	0	0	0	47	0	0	0	0	0	0	0	17	0	0	12	0	0	0	0	0	0	0	0	18
IV00_00036127	IV00_00036127	IV00_00036127-RA	protein_coding	2	1	1	177	0	0	0	0	0	1	0	20	0	2	135	0	0	0	1	0	0	0	0	23
IV00_00036130	IV00_00036130	IV00_00036130-RA	protein_coding	0	1	0	79	6	0	0	0	0	0	0	28	0	0	15	0	0	0	1	0	0	0	0	31
IV00_00036131	IV00_00036131	IV00_00036131-RA	protein_coding	1	0	2	113	2	0	0	0	0	2	0	25	0	1	68	0	0	0	0	0	0	0	0	18
IV00_00036133	IV00_00036133	IV00_00036133-RA	protein_coding	0	0	0	109	0	0	0	0	0	0	0	28	0	0	16	0	0	0	0	0	0	0	0	65
IV00_00036137	IV00_00036137	IV00_00036137-RA	protein_coding	0	0	0	43	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	13
IV00_00036139	IV00_00036139	IV00_00036139-RA	protein_coding	5	0	0	102	7	0	0	0	0	0	0	41	0	5	25	0	0	0	0	0	0	0	0	29
IV00_00036140	IV00_00036140	IV00_00036140-RA	protein_coding	0	0	0	88	0	0	0	0	0	0	0	17	0	0	55	0	0	0	0	0	0	0	0	16
IV00_00036142	IV00_00036142	IV00_00036142-RA	protein_coding	0	0	0	70	0	0	0	0	0	0	0	13	0	0	38	0	0	0	0	0	0	0	0	19
IV00_00036152	IV00_00036152	IV00_00036152-RA	protein_coding	0	0	0	32	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	28
IV00_00036158	IV00_00036158	IV00_00036158-RA	protein_coding	0	0	0	53	4	0	0	0	0	0	0	15	0	0	12	0	0	0	0	0	0	0	0	22
IV00_00036159	IV00_00036159	IV00_00036159-RA	protein_coding	0	0	0	104	0	0	0	0	0	0	0	27	0	0	34	0	0	0	0	0	0	0	0	43
IV00_00036161	IV00_00036161	IV00_00036161-RA	protein_coding	0	0	0	68	0	0	0	0	0	0	0	15	0	0	29	0	0	0	0	0	0	0	0	24
IV00_00036168	IV00_00036168	IV00_00036168-RA	protein_coding	0	0	0	131	0	0	0	0	0	0	0	32	0	0	72	0	0	0	0	0	0	0	0	27
IV00_00036168	IV00_00036168	IV00_00036168-RB	protein_coding	0	0	0	184	0	0	1	0	0	0	0	32	0	0	117	0	0	0	0	0	0	0	0	34
IV00_00036168	IV00_00036168	IV00_00036168-RC	protein_coding	0	0	0	107	0	0	1	0	0	0	0	28	0	0	44	0	0	0	0	0	0	0	0	34
IV00_00036172	IV00_00036172	IV00_00036172-RA	protein_coding	0	0	0	68	0	0	0	0	0	0	0	16	0	0	22	0	0	0	0	0	0	0	0	30
IV00_00036178	IV00_00036178	IV00_00036178-RA	protein_coding	0	0	0	91	5	0	0	0	0	0	0	20	0	0	14	0	0	0	0	0	0	0	0	52
IV00_00036190	IV00_00036190	IV00_00036190-RA	protein_coding	0	0	0	82	0	0	0	0	0	0	0	38	0	0	24	0	0	0	0	0	0	0	0	20
IV00_00036196	IV00_00036196	IV00_00036196-RA	protein_coding	0	0	0	51	4	0	0	0	0	0	0	26	0	0	9	0	0	0	0	0	0	0	0	12
IV00_00036198	IV00_00036198	IV00_00036198-RA	protein_coding	0	0	0	54	0	0	0	0	0	0	0	21	0	0	3	0	0	0	0	0	0	0	0	30
IV00_00036199	IV00_00036199	IV00_00036199-RA	protein_coding	4	1	2	80	0	0	0	0	0	0	2	16	0	4	41	0	0	0	1	0	0	0	0	24
IV00_00036201	IV00_00036201	IV00_00036201-RA	protein_coding	3	0	1	119	0	0	0	0	0	1	1	18	0	2	68	0	0	1	1	0	0	0	0	34
IV00_00036203	IV00_00036203	IV00_00036203-RA	protein_coding	0	0	0	68	0	0	0	0	0	0	0	20	0	0	13	0	0	0	0	0	0	0	0	35
IV00_00036208	IV00_00036208	IV00_00036208-RA	protein_coding	0	1	0	69	4	0	0	0	0	0	0	26	0	0	38	0	0	0	1	0	0	0	0	2
IV00_00036209	IV00_00036209	IV00_00036209-RA	protein_coding	1	0	1	133	0	0	0	0	1	0	0	21	0	1	82	0	0	0	0	0	0	0	0	30
IV00_00036212	IV00_00036212	IV00_00036212-RA	protein_coding	1	1	0	77	0	0	0	0	0	0	0	31	0	1	28	0	0	0	1	0	0	0	0	19
IV00_00036214	IV00_00036214	IV00_00036214-RA	protein_coding	0	0	0	78	4	0	0	0	0	0	0	25	0	0	28	0	0	0	0	0	0	0	0	21
IV00_00036215	IV00_00036215	IV00_00036215-RA	protein_coding	0	0	0	69	0	0	0	0	0	0	0	18	0	0	23	0	0	0	0	0	0	0	0	28
IV00_00036216	IV00_00036216	IV00_00036216-RA	protein_coding	0	0	0	55	0	0	0	0	0	0	0	28	0	0	6	0	0	0	0	0	0	0	0	21
IV00_00036219	IV00_00036219	IV00_00036219-RA	protein_coding	1	1	0	172	0	0	0	0	0	0	0	33	0	0	104	0	0	1	1	0	0	0	0	37
IV00_00036225	IV00_00036225	IV00_00036225-RA	protein_coding	0	0	0	37	0	0	0	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	18
IV00_00036226	IV00_00036226	IV00_00036226-RA	protein_coding	0	0	0	70	0	0	0	0	0	0	0	23	0	0	11	0	0	0	0	0	0	0	0	36
IV00_00036229	IV00_00036229	IV00_00036229-RA	protein_coding	0	0	0	53	1	0	0	0	0	0	0	15	0	0	15	0	0	0	0	0	0	0	0	22
IV00_00036230	IV00_00036230	IV00_00036230-RA	protein_coding	0	0	0	44	2	0	0	0	0	0	0	10	0	0	13	0	0	0	0	0	0	0	1	18
IV00_00036268	IV00_00036268	IV00_00036268-RA	protein_coding	0	0	0	39	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	17
IV00_00036272	IV00_00036272	IV00_00036272-RA	protein_coding	0	0	0	38	0	0	0	0	0	0	0	14	0	0	7	0	0	0	0	0	0	0	0	17
IV00_00036273	IV00_00036273	IV00_00036273-RA	protein_coding	0	0	0	59	0	0	0	0	0	0	0	13	0	0	7	0	0	0	0	0	0	0	0	39
IV00_00036275	IV00_00036275	IV00_00036275-RA	protein_coding	0	0	0	78	0	0	0	0	0	0	0	15	0	0	40	0	0	0	0	0	0	0	0	23
IV00_00036294	IV00_00036294	IV00_00036294-RA	protein_coding	1	0	0	119	0	0	0	0	0	0	0	27	0	0	82	0	1	0	0	0	0	0	0	11
IV00_00036327	IV00_00036327	IV00_00036327-RA	protein_coding	0	0	0	88	0	0	0	0	0	0	0	25	0	0	34	0	0	0	0	0	0	0	0	29
IV00_00036339	IV00_00036339	IV00_00036339-RA	protein_coding	1	1	0	213	0	0	0	0	0	0	0	38	0	1	145	0	0	0	1	0	0	0	0	31
IV00_00036345	IV00_00036345	IV00_00036345-RA	protein_coding	1	1	0	65	0	0	0	0	0	0	0	34	0	1	1	0	0	0	1	0	0	0	0	31
IV00_00036346	IV00_00036346	IV00_00036346-RA	protein_coding	2	0	1	52	0	0	0	1	0	0	0	24	0	2	7	0	0	0	0	0	0	0	0	21
IV00_00036421	IV00_00036421	IV00_00036421-RA	protein_coding	0	0	0	73	7	0	0	0	0	0	0	27	0	0	29	0	0	0	0	0	0	0	0	10
IV00_00036458	IV00_00036458	IV00_00036458-RA	protein_coding	0	0	0	78	3	0	0	0	0	0	0	24	0	0	14	0	0	0	0	0	0	0	0	37
IV00_00036469	IV00_00036469	IV00_00036469-RA	protein_coding	3	0	0	56	0	0	0	0	0	0	0	31	0	3	0	0	0	0	0	0	0	0	0	25
IV00_00036473	IV00_00036473	IV00_00036473-RA	protein_coding	0	0	0	23	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	14
IV00_00036475	IV00_00036475	IV00_00036475-RA	protein_coding	0	0	0	80	0	0	0	0	0	0	0	16	0	0	50	0	0	0	0	0	0	0	0	14
IV00_00036479	IV00_00036479	IV00_00036479-RA	protein_coding	2	0	2	24	0	0	0	0	1	1	0	12	0	2	2	0	0	0	0	0	0	0	0	10
IV00_00036480	IV00_00036480	IV00_00036480-RA	protein_coding	0	0	0	79	0	0	0	0	0	0	0	15	0	0	28	0	0	0	0	0	0	0	0	36
IV00_00036494	IV00_00036494	IV00_00036494-RA	protein_coding	0	0	0	49	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	28
IV00_00036497	IV00_00036497	IV00_00036497-RA	protein_coding	0	1	0	49	0	0	0	0	0	0	0	23	0	0	7	0	0	0	1	0	0	0	0	20
IV00_00036501	IV00_00036501	IV00_00036501-RA	protein_coding	0	0	0	97	1	0	0	0	0	0	0	17	0	0	61	0	0	0	0	0	0	0	0	18
IV00_00036513	IV00_00036513	IV00_00036513-RA	protein_coding	0	0	3	128	0	0	0	2	1	0	0	33	0	0	71	0	0	0	0	0	0	0	0	24
IV00_00036530	IV00_00036530	IV00_00036530-RA	protein_coding	0	0	0	75	0	0	0	0	0	0	0	27	0	0	33	0	0	0	0	0	0	0	0	15
IV00_00036533	IV00_00036533	IV00_00036533-RA	protein_coding	1	0	0	99	0	0	0	0	0	0	0	34	0	1	47	0	0	0	0	0	0	0	0	18
IV00_00036541	IV00_00036541	IV00_00036541-RA	protein_coding	0	1	0	161	0	0	0	0	0	0	0	16	0	0	118	0	0	0	1	0	0	0	0	28
IV00_00036544	IV00_00036544	IV00_00036544-RA	protein_coding	0	0	0	64	0	0	1	0	0	0	0	17	0	0	23	0	0	0	0	0	0	0	0	23
IV00_00036546	IV00_00036546	IV00_00036546-RA	protein_coding	0	0	0	53	0	0	0	0	0	0	0	10	0	0	25	0	0	0	0	0	0	0	0	18
IV00_00036548	IV00_00036548	IV00_00036548-RA	protein_coding	0	0	0	91	0	0	0	0	0	0	0	8	0	0	74	0	0	0	0	0	0	0	0	9
IV00_00036550	IV00_00036550	IV00_00036550-RA	protein_coding	0	0	0	56	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	0	0	9
IV00_00036553	IV00_00036553	IV00_00036553-RA	protein_coding	0	0	0	63	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	24
IV00_00036564	IV00_00036564	IV00_00036564-RA	protein_coding	0	0	0	63	0	0	0	0	0	0	0	30	0	0	2	0	0	0	0	0	0	0	0	31
IV00_00036565	IV00_00036565	IV00_00036565-RA	protein_coding	2	0	1	113	0	0	0	0	0	1	0	31	0	2	59	0	0	0	0	0	0	0	0	23
